0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1.69676487649986,2.4086825634293,2.8988190394773,1.98508045064574,1.46167679296553,2.06935731078069,2.20020822520074,1.60361676792966,2.61493908954905,3.36677739443715,4.16518975361036,2.94095746954477,1.87640765731383,2.73913656764266,1.94294202057827,1.27759838793393,2.3000097700974,3.25588678899643,3.52645986627179,4.10530882667237,2.12258480139224,2.3465838243825,3.35790614600189,2.73913656764266,2.09818886819528,1.90745702683724,2.06713949867188,1.89193234207553,3.8502604341587,4.32709003755381,3.53754892681586,2.30888101853265,3.99441822123164,4.049863523952,3.93897291851128,3.99220040912283,2.5772362836992,2.28448508533569,3.51537080572772,2.57501847159039,0,0.148199826478958
1.69676487649986,2.4086825634293,2.8988190394773,1.98508045064574,1.46167679296553,2.06935731078069,2.20020822520074,1.60361676792966,2.61493908954905,3.37121301865478,4.16740756571917,2.94095746954477,1.87640765731383,2.74357219186029,1.94515983268708,1.28425182426037,2.29779195798858,3.25810460110524,3.53089549048942,4.10974445088999,2.12258480139224,2.35101944860013,3.36234177021952,2.74135437975147,2.09818886819528,1.90745702683724,2.06492168656306,1.88749671785791,3.85247824626752,4.32709003755381,3.53533111470705,2.30666320642384,3.99220040912283,4.05208133606082,3.94340854272891,3.99441822123164,2.57501847159039,2.28892070955332,3.51758861783653,2.5772362836992,0,0.236050620675087
1.70120050071749,2.41311818764693,2.90103685158611,1.98729826275456,1.46833022929197,2.07157512288951,2.20464384941837,1.60583458003847,2.61493908954905,3.36677739443715,4.16740756571917,2.94317528165359,1.87640765731383,2.74135437975147,1.9473776447959,1.2731627637163,2.30222758220621,3.26032241321406,3.53311330259824,4.10974445088999,2.12480261350105,2.35101944860013,3.36455958232834,2.74135437975147,2.09818886819528,1.91189265105487,2.06935731078069,1.88971452996672,3.85247824626752,4.33152566177144,3.53976673892468,2.30888101853265,3.99441822123164,4.05208133606082,3.9411907306201,3.99441822123164,2.5772362836992,2.28892070955332,3.51758861783653,2.57501847159039,0,0.198835402727127
1.69898268860868,2.4086825634293,2.8988190394773,1.98286263853693,1.46611241718316,2.06713949867188,2.19799041309193,1.60139895582084,2.61715690165786,3.37564864287241,4.16962537782798,2.9453930937624,1.87862546942265,2.74800781607792,1.9473776447959,1.25320245473697,2.3000097700974,3.25366897688761,3.52424205416298,4.10530882667237,2.12258480139224,2.34436601227368,3.35790614600189,2.73691875553384,2.10040668030409,1.90523921472842,2.06048606234543,1.88527890574909,3.85469605837633,4.32709003755381,3.53089549048942,2.30444539431502,3.99441822123164,4.05208133606082,3.94784416694654,3.99885384544927,2.57501847159039,2.29113852166214,3.52202424205416,2.58167190791683,0,0.249280601739883
1.69454706439105,2.40646475132049,2.89660122736849,1.98064482642811,1.45945898085672,2.06713949867188,2.19577260098312,1.59918114371203,2.61272127744023,3.36455958232834,4.16518975361036,2.94095746954477,1.87640765731383,2.73691875553384,1.94515983268708,1.24433120630171,2.29557414587977,3.25366897688761,3.52424205416298,4.10530882667237,2.12036698928342,2.34436601227368,3.35568833389308,2.73691875553384,2.09818886819528,1.90745702683724,2.06492168656306,1.88527890574909,3.8502604341587,4.32709003755381,3.53533111470705,2.30444539431502,3.99885384544927,4.04764571184319,3.93897291851128,3.99441822123164,2.58167190791683,2.28448508533569,3.51537080572772,2.5772362836992,0,0.24671071767807
1.69898268860868,2.41090037553812,2.8988190394773,1.98286263853693,1.46389460507434,2.06935731078069,2.19799041309193,1.60139895582084,2.61493908954905,3.36899520654597,4.16740756571917,2.9453930937624,1.87862546942265,2.74357219186029,1.9473776447959,1.24433120630171,2.29779195798858,3.25588678899643,3.52645986627179,4.10309101456355,2.12258480139224,2.3465838243825,3.35790614600189,2.73470094342503,2.10040668030409,1.90967483894605,2.06492168656306,1.88749671785791,3.85469605837633,4.32930784966263,3.53533111470705,2.30666320642384,3.99441822123164,4.04764571184319,3.94340854272891,3.99885384544927,2.5772362836992,2.28670289744451,3.51758861783653,2.57945409580802,0,0.215491786599159
1.70120050071749,2.41090037553812,2.90103685158611,1.98286263853693,1.46389460507434,2.07157512288951,2.20020822520074,1.60139895582084,2.61050346533142,3.36899520654597,4.16740756571917,2.94317528165359,1.87418984520502,2.74357219186029,1.9473776447959,1.2421133941929,2.29779195798858,3.25366897688761,3.52645986627179,4.10530882667237,2.12036698928342,2.3465838243825,3.35790614600189,2.73691875553384,2.10262449241291,1.90967483894605,2.06713949867188,1.88971452996672,3.85469605837633,4.32930784966263,3.53754892681586,2.30888101853265,3.99885384544927,4.05429914816963,3.94340854272891,3.99885384544927,2.57945409580802,2.28892070955332,3.51980642994535,2.57945409580802,0,0.252231150865555
1.69676487649986,2.41090037553812,2.8988190394773,1.98286263853693,1.46389460507434,2.06935731078069,2.20020822520074,1.60139895582084,2.61493908954905,3.36899520654597,4.16518975361036,2.9453930937624,1.87640765731383,2.74357219186029,1.94294202057827,1.24433120630171,2.29557414587977,3.25366897688761,3.52645986627179,4.10752663878118,2.11814917717461,2.34436601227368,3.35790614600189,2.73913656764266,2.09818886819528,1.90745702683724,2.06492168656306,1.88749671785791,3.85247824626752,4.32709003755381,3.53533111470705,2.30666320642384,3.99885384544927,4.049863523952,3.9411907306201,3.99663603334046,2.57945409580802,2.28670289744451,3.51758861783653,2.57945409580802,0,0.133922919631004
1.69676487649986,2.41090037553812,2.90103685158611,1.98508045064574,1.46167679296553,2.06935731078069,2.20020822520074,1.60361676792966,2.61272127744023,3.36899520654597,4.16740756571917,2.94317528165359,1.87418984520502,2.74135437975147,1.94515983268708,1.2421133941929,2.29779195798858,3.25588678899643,3.52867767838061,4.10752663878118,2.12036698928342,2.34880163649131,3.36012395811071,2.73913656764266,2.10040668030409,1.90745702683724,2.06713949867188,1.88971452996672,3.85247824626752,4.32709003755381,3.53754892681586,2.30888101853265,3.99663603334046,4.04764571184319,3.94340854272891,3.99663603334046,2.57945409580802,2.28670289744451,3.51758861783653,2.57945409580802,0,0.199977576732635
1.69676487649986,2.41090037553812,2.90103685158611,1.98729826275456,1.46167679296553,2.06935731078069,2.20020822520074,1.60583458003847,2.61493908954905,3.36899520654597,4.16740756571917,2.94317528165359,1.87640765731383,2.74357219186029,1.94515983268708,1.24433120630171,2.29779195798858,3.26032241321406,3.53089549048942,4.11196226299881,2.12036698928342,2.35323726070894,3.36455958232834,2.74357219186029,2.09597105608647,1.90745702683724,2.06713949867188,1.89193234207553,3.8502604341587,4.32709003755381,3.53754892681586,2.31109883064147,3.99663603334046,4.049863523952,3.9411907306201,3.99663603334046,2.57945409580802,2.28670289744451,3.51537080572772,2.57945409580802,0,0.194933071732521
